,Tweets,len,ID,USER,userName,User Location,Language,Date,Source,Likes,Retweets,Geo,Coordinates,Place
266,"FLASH: TEXAS posts new COVID spike — record *5,489* new cases, record *4,092* patients in hospital beds",103,1275536056314626048,StevenTDennis,Steven Dennis,"Washington, DC",,2020-06-23 21:07:48,Twitter Web App,4183,2699,,,
267,Janice Dean: New York Governor Andrew Cuomo Needs To Be Investigated For Sending Recovering Covid Patients Into Nursing Homes  https://t.co/1TgOr5Fwv7,150,1275552012210515968,JaniceDean,Janice Dean,NYC!,,2020-06-23 22:11:12,Twitter for iPhone,12002,4415,,,
268,"This is Trump speaking right now in Arizona, where coronavirus cases are spiking. Hospitals are overrun. The 3,591 new cases reported Tuesday marks the highest one-day total yet. https://t.co/XEFA7PHDCo",202,1275565397215981575,EliStokols,Eli Stokols,"Washington, DC",,2020-06-23 23:04:24,TweetDeck,1509,715,,,
269,"I am amazed that there isn't a universal public consensus in the United States that is voiced routinely by elected officials of both parties on major media that the words, actions, and inaction of Donald Trump during this pandemic have literally killed tens of thousands of people",280,1275565712615116801,SethAbramson,Seth Abramson,All views are my own.,,2020-06-23 23:05:39,Twitter for Android,5875,1843,,,
270,Stop letting the media distort the facts surrounding coronavirus.  The statistics being presented are meant to inspire fear &amp; paranoia.  @realDonaldTrump is doing a great job!  Make sure you RT this video for all to see so they can understand the TRUTH! https://t.co/RDVH7AeNI9,281,1275546354845089802,drdavidsamadi,Dr. David Samadi,"Manhattan, New York",,2020-06-23 21:48:44,Twitter for iPhone,5128,4425,,,
271,Trump says hiding the truth about Coronavirus will make it go away. Kayleigh says he’s just kidding. Trump says no way. I was dead serious. Emphasis on the “dead.”,163,1275524215496740871,tribelaw,Laurence Tribe,,,2020-06-23 20:20:45,Twitter for iPhone,11943,2886,,,
272,"For Republicans who want to constantly bring up the flu: According to new CDC data, the US influenza death rate is .1%, while the Covid-19 death rate is 5.2%. This means that the average death rate for Covid is almost 50 times higher than that of the flu.",255,1275532561926647808,chelseahandler,Chelsea Handler,"Los Angeles, CA",,2020-06-23 20:53:55,Twitter for iPhone,13684,3825,,,
273,"""In the last 14 days, Oregon has reported a 234% jump in infections, Oklahoma jumped by 202%, Florida's number increased by 155%, and Arizona's confirmed coronavirus cases climbed by 142%"" https://t.co/eucS7BZ3L5",212,1275499985132544002,maddow,Rachel Maddow MSNBC,"New York, NY USA",,2020-06-23 18:44:28,Twitter Web App,10781,6652,,,
274,Meatpacking companies used the COVID-19 pandemic – and the threat of shortages – as cover to jack up prices &amp; endanger workers while they exported record amounts of pork &amp; other meat products abroad. @SenBooker &amp; I are opening an investigation. https://t.co/WhYPe3ZfVc,280,1275526721052295168,SenWarren,Elizabeth Warren,,,2020-06-23 20:30:43,Twitter Web App,10760,3928,,,
275,"A blockbuster new study finds that overall, the federal coronavirus relief package has failed to rescue the businesses and jobs getting hit hardest by the pandemic.  It also found that state-permitted reopenings don't seem to boost the economy. https://t.co/y3b7at0UaJ",268,1275542445313396736,NPR,NPR,,,2020-06-23 21:33:12,SocialFlow,1052,642,,,
